"",Avoider,Limiter,Prolonger,total
Q10_bout,5.0+/-0.05,5.0+/-0.2,5.3+/-0.5,5.1+/-0.3
Q20_bout,5.4+/-0.5,6.0+/-0.2,6.5+/-0.6,5.9+/-0.6
Q25_bout,5.9+/-0.4,6.3+/-0.4,7.2+/-0.6,6.3+/-0.7
Q30_bout,6.1+/-0.3,6.8+/-0.5,7.9+/-0.8,6.8+/-0.9
Q40_bout,6.9+/-0.5,7.9+/-0.6, 9.7+/-1.1,8.0+/-1.3
Q50_bout,7.9+/-0.6,9.4+/-0.8,12.1+/-1.6, 9.5+/-1.8
Q60_bout,9.2+/-0.9,11.4+/-1.1,15.4+/-2.3,11.6+/-2.7
Q70_bout,11.2+/-1.3,14.3+/-1.5,20.3+/-3.2,14.7+/-3.9
Q75_bout,12.5+/-1.6,16.3+/-1.9,23.8+/-4.0,16.9+/-4.9
Q80_bout,14.3+/-2.0,19.0+/-2.5,28.4+/-5.1,19.7+/-6.1
Q90_bout,21.1+/-4.3,28.8+/-5.4,44.1+/-9.3,30.0+/-10.6
IQR,6.7+/-1.5,10.0+/-1.9,16.6+/-3.7,10.5+/-4.4
IDR,16.1+/-4.3,23.8+/-5.4,38.8+/-9.3,24.9+/-10.5
SB_perc,0.313+/-0.0796,0.479+/-0.0821,0.631+/-0.0983,0.462+/-0.146
bouts_weartime,0.0272+/-0.00656,0.0335+/-0.00574,0.0318+/-0.00514,0.0311+/-0.00649
