"",Interrupted,Intermediate,Prolonged,total
Q10_bout,1.0+/-0.0,1.0+/-0.0,1.0+/-0.0,1.0+/-0.0
Q20_bout,1.0+/-0.0,1.0+/-0.0,1.0+/-0.0,1.0+/-0.0
Q25_bout,1.0+/-0.0,1.0+/-0.0,1.0+/-0.04,1.0+/-0.02
Q30_bout,1.0+/-0.0,1.0+/-0.1,1.5+/-0.5,1.2+/-0.4
Q40_bout,1.0+/-0.2,2.0+/-0.2,2.1+/-0.3,1.8+/-0.5
Q50_bout,1.9+/-0.3,2.2+/-0.4,3.1+/-0.5,2.4+/-0.6
Q60_bout,2.3+/-0.4,3.1+/-0.4,4.5+/-0.8,3.3+/-1.0
Q70_bout,3.2+/-0.5,4.5+/-0.6,6.7+/-1.4,4.8+/-1.6
Q75_bout,3.9+/-0.6,5.5+/-0.8,8.5+/-1.9,6.0+/-2.1
Q80_bout,4.8+/-0.9,6.9+/-1.0,11.0+/-2.6,7.6+/-2.9
Q90_bout,8.6+/-2.0,12.5+/-2.5,20.8+/-5.8,13.9+/-6.0
IQR,2.9+/-0.6,4.5+/-0.8,7.5+/-1.9,5.0+/-2.1
IDR,7.6+/-2.0,11.5+/-2.5,19.8+/-5.8,12.9+/-6.0
SB_perc,0.443+/-0.0785,0.585+/-0.0669,0.709+/-0.0686,0.585+/-0.121
bout_frequency,6.7+/-1.0,6.6+/-0.9,5.3+/-0.8,6.2+/-1.1
